deviceId	floorId	partitionId	location_x	location_y
303	91	70	313.65263913439156	291.38021613447034
304	91	70	302.01224966020186	291.6398342740433
305	91	70	316.9494580094005	292.2171473186993
306	91	71	300.5417811531135	272.6910403445498
307	91	71	310.10402895172876	273.57174926009475
308	91	71	306.15725194069995	280.5136388037937
309	91	73	312.96461534158175	282.3023976394374
310	91	73	314.3975957799121	275.7062366363076
311	91	73	318.10280763582773	284.12193908725413
312	91	74	381.4718088180944	287.57454488661654
313	91	74	380.5677013093334	283.6496104405566
314	91	75	373.59845258020545	280.77819320279866
315	91	77	329.00848731386895	271.7260231527632
316	91	82	333.1518013575609	270.59091213488904
317	91	83	332.36368057541534	276.3524443940062
318	91	88	319.8415598313642	245.14323843530255
319	91	89	322.17649517881847	246.8281077973194
320	91	89	322.61542308374703	253.6820804403531
321	91	89	317.881759878386	248.24198971112875
322	91	90	317.3528186176331	255.2550460867041
323	91	90	320.6376043262037	260.04370472785433
324	91	91	313.8006761535759	260.30760316994366
325	91	91	314.24595254984655	247.2105363654369
326	91	91	305.38024186802636	249.30910316524358
327	91	92	330.6370667800081	297.56099367087756
328	91	93	351.642124282937	297.5248888641103
329	92	94	328.6152531218673	273.8858431053679
330	92	94	324.82152288646535	272.4282333291089
331	92	95	370.9164979392687	267.45716028764673
332	92	97	339.2049195867505	284.2228788950577
333	92	97	333.31810144407234	281.56383108835024
334	92	98	351.18202539519575	285.14573910277034
335	92	99	362.36032893118846	285.3385227838812
336	92	100	358.3026891023599	261.41732896431887
337	92	101	346.06388346434284	292.64550966644975
338	92	101	347.2910128208648	287.91217019138605
339	92	101	350.0858904025171	289.62115480486017
340	92	102	344.34275453495644	263.7084635932733
341	92	103	327.84023384879083	291.0422706502827
342	92	104	351.12871647023593	279.276551406876
343	92	105	338.3552861192483	260.2886155495896
344	92	106	337.83786162222316	290.1143243421353
345	92	106	339.210980020916	292.00577439149305
346	92	107	348.32627849733996	281.31434757982043
347	92	107	348.681347310936	280.33937806300077
348	92	108	329.9438807741241	290.94911767624984
349	92	108	333.20997510019646	290.97750311103255
350	92	109	303.7831218688912	261.03298643836564
351	92	109	304.09923866046336	267.6568889563103
352	92	110	378.9021350046656	269.9382962792488
353	92	110	381.380076810356	266.03080797845456
354	92	111	314.38604689096724	260.5186562367957
355	92	111	313.16121708328023	261.8621376840686
356	92	112	349.91575435447993	277.11204503318595
357	92	112	348.14842252897785	276.2185519567424
358	92	112	345.6873752084589	271.90159138075364
359	92	115	324.80370883714517	285.51014622862016
360	92	116	329.75389196677753	260.7130848029308
361	92	117	361.50127008746125	277.65230697044734
362	92	117	359.18636713205836	276.7874655964849
363	92	117	361.0384681381777	274.0408811628785
364	92	120	326.8482233455979	260.485989963951
365	92	121	324.27833527583664	281.12402486039804
366	92	123	341.8479221774184	270.97992795255374
367	92	124	343.3480915810328	276.92959191109816
368	92	125	344.20209428061696	292.7531910856323
369	92	126	344.68913239827833	297.8009136707569
370	92	126	354.09458966171843	293.8331156884959
371	92	127	323.0913112625882	298.6501590112529
372	92	127	338.58363765123556	297.0351570881421
373	92	127	331.539041524728	297.3607134229974
374	92	128	358.29793793649907	275.59770305362366
375	92	129	356.88480345093126	279.2580041568185
376	92	131	377.6697976607332	270.09219295881513
377	92	132	374.3050709774936	277.70655357672877
378	92	132	376.4172655505056	280.87446623689266
379	92	132	379.00019064012855	273.4578076977579
380	92	133	365.44305774100314	273.3021470681165
381	92	133	369.7585662790559	277.7379503396257
382	92	133	364.86603990941165	269.2090818841052
383	92	134	327.42145075682595	243.95579002782998
384	92	134	306.28295200688405	259.903656841935
385	92	135	346.255726373273	242.83752890743395
386	92	135	359.69741061589883	244.542014595386
387	92	135	351.11658431343443	257.414056451842
388	92	136	372.24295636120064	251.53694661041467
389	92	136	377.76851207806493	263.20910257134165
390	92	136	370.8178553365684	251.17665794781865
391	92	137	309.1704120335672	261.8305889935946
392	92	137	308.980417034772	267.31723459529303
393	92	138	312.39483736472994	267.60039098547816
394	92	139	326.51143272226443	267.3094628186144
395	92	140	336.90163039053886	268.15912415420314
396	92	141	358.1541007778191	267.17882707719093
397	92	143	300.77654806913273	281.9864091150484
398	92	143	305.2636162643306	295.33672265163966
399	92	143	306.3346323910728	294.7275339032467
400	92	144	308.06191989166973	274.83317865913006
401	92	144	303.9783607147693	271.99140945979065
402	92	144	301.08687029270885	272.176030578331
403	92	145	367.70046970179595	297.7302361100748
404	92	145	368.448879864081	289.17628402893
405	92	145	367.410037490521	292.8214462595092
406	92	146	362.22099764707804	292.35304094865177
407	92	146	363.5341974011911	299.01748042169453
408	92	146	363.5364798090271	288.05586256589834
409	92	147	331.3616171564337	268.9018873030303
410	92	147	334.9623220223263	275.43490275660156
411	92	147	330.23758392951646	271.7675230859433
412	92	148	319.2583087550491	262.89746188204646
413	92	149	320.21531796305305	269.44394101495175
414	92	149	313.06546348310303	270.25856922083545
415	92	149	321.5516565211131	275.9260324206223
